ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1573,0.002,0.000,0.002,0.000,{method 'pop' of 'collections.OrderedDict' objects}
1144,0.000,0.000,0.000,0.000,{method 'keys' of 'collections.OrderedDict' objects}
40452,0.009,0.000,0.009,0.000,{method 'values' of 'collections.OrderedDict' objects}
2293,0.000,0.000,0.000,0.000,{method 'items' of 'collections.OrderedDict' objects}
2,0.000,0.000,0.000,0.000,{method 'clear' of 'collections.OrderedDict' objects}
1,0.000,0.000,0.000,0.000,{method 'move_to_end' of 'collections.OrderedDict' objects}
8,0.000,0.000,0.000,0.000,{method 'get' of 'mappingproxy' objects}
10220,0.006,0.000,0.006,0.000,{method 'values' of 'mappingproxy' objects}
5,0.000,0.000,0.000,0.000,{method 'items' of 'mappingproxy' objects}
2,0.000,0.000,0.000,0.000,{method 'read' of '_io.TextIOWrapper' objects}
2,0.000,0.000,0.000,0.000,{method 'close' of '_io.BufferedReader' objects}
4,0.000,0.000,0.000,0.000,{method 'fileno' of '_io.BufferedReader' objects}
1,0.000,0.000,0.000,0.000,{method 'close' of '_io.BufferedWriter' objects}
1572,2.087,0.001,2.087,0.001,{method 'write' of '_io.BufferedWriter' objects}
1,0.000,0.000,0.000,0.000,{method 'flush' of '_io.BufferedWriter' objects}
8,0.000,0.000,0.000,0.000,{method 'close' of '_io.BufferedRandom' objects}
8,0.000,0.000,0.000,0.000,{method 'fileno' of '_io.BufferedRandom' objects}
16,0.000,0.000,0.000,0.000,{method 'flush' of '_io.BufferedRandom' objects}
7,0.000,0.000,0.000,0.000,{method 'read' of '_io.FileIO' objects}
11,0.000,0.000,0.000,0.000,{built-in method io.open}
2,0.000,0.000,0.000,0.000,{built-in method _locale.nl_langinfo}
15,0.000,0.000,0.000,0.000,{method 'acquire' of '_thread.RLock' objects}
15,0.000,0.000,0.000,0.000,{method 'release' of '_thread.RLock' objects}
17,0.000,0.000,0.000,0.000,{built-in method _thread.allocate_lock}
8763,0.003,0.000,0.003,0.000,{built-in method _thread.get_ident}
9432,0.004,0.000,0.004,0.000,{built-in method time.time}
75029,0.018,0.000,0.018,0.000,{built-in method time.perf_counter}
3,0.000,0.000,0.000,0.000,{built-in method _stat.S_ISREG}
13,0.000,0.000,0.000,0.000,{built-in method _stat.S_ISLNK}
